text,label
I feel stressed about my exams,Negative
I am very happy today,Positive
I feel anxious and nervous,Negative
I am confident about my future,Positive
I feel lonely sometimes,Negative
I am feeling motivated to study,Positive
I feel depressed and sad,Negative
Today is an average day,Neutral
I am worried about my results,Negative
I feel relaxed and calm,Positive
I feel hopeless and tired,Very Negative
I am excited about learning new things,Positive
I feel pressured by expectations,Negative
I am feeling peaceful today,Positive
I feel overwhelmed with work,Negative
I am proud of myself,Positive
I feel insecure about my abilities,Negative
I am feeling positive and energetic,Positive
I feel exhausted mentally,Negative
I am grateful and happy,Very Positive
